event method rate tree multiplier bin count 
ins ma.tree 0.005 sym 5 1.6 2 
ins ma.tree 0.005 sym 5 1.7 2 
ins ma.tree 0.005 sym 5 1.8 0 
ins ma.tree 0.005 sym 5 1.9 0 
ins ma.tree 0.005 sym 5 2.0 0 
del ma.tree 0.005 sym 5 0.0 0 
del ma.tree 0.005 sym 5 0.10 0 
del ma.tree 0.005 sym 5 0.20 0 
del ma.tree 0.005 sym 5 0.30 0 
del ma.tree 0.005 sym 5 0.40 0 
del ma.tree 0.005 sym 5 0.50 2 
del ma.tree 0.005 sym 5 0.60 5 
del ma.tree 0.005 sym 5 0.70 13 
del ma.tree 0.005 sym 5 0.80 8 
del ma.tree 0.005 sym 5 0.90 9 
del ma.tree 0.005 sym 5 1.0 9 
del ma.tree 0.005 sym 5 1.1 13 
del ma.tree 0.005 sym 5 1.2 13 
del ma.tree 0.005 sym 5 1.3 15 
del ma.tree 0.005 sym 5 1.4 7 
del ma.tree 0.005 sym 5 1.5 3 
del ma.tree 0.005 sym 5 1.6 3 
del ma.tree 0.005 sym 5 1.7 0 
del ma.tree 0.005 sym 5 1.8 0 
del ma.tree 0.005 sym 5 1.9 0 
del ma.tree 0.005 sym 5 2.0 0 
ins ma.tree 0.005 tree 5 0.0 0 
ins ma.tree 0.005 tree 5 0.10 0 
ins ma.tree 0.005 tree 5 0.20 0 
ins ma.tree 0.005 tree 5 0.30 0 
ins ma.tree 0.005 tree 5 0.40 0 
ins ma.tree 0.005 tree 5 0.50 3 
ins ma.tree 0.005 tree 5 0.60 2 
ins ma.tree 0.005 tree 5 0.70 6 
ins ma.tree 0.005 tree 5 0.80 7 
ins ma.tree 0.005 tree 5 0.90 11 
ins ma.tree 0.005 tree 5 1.0 15 
ins ma.tree 0.005 tree 5 1.1 15 
ins ma.tree 0.005 tree 5 1.2 11 
ins ma.tree 0.005 tree 5 1.3 11 
ins ma.tree 0.005 tree 5 1.4 14 
ins ma.tree 0.005 tree 5 1.5 4 
ins ma.tree 0.005 tree 5 1.6 0 
ins ma.tree 0.005 tree 5 1.7 0 
ins ma.tree 0.005 tree 5 1.8 1 
ins ma.tree 0.005 tree 5 1.9 0 
ins ma.tree 0.005 tree 5 2.0 0 
del ma.tree 0.005 tree 5 0.0 0 
del ma.tree 0.005 tree 5 0.10 0 
del ma.tree 0.005 tree 5 0.20 0 
