event method rate tree multiplier bin count
del histprk 0.005 sym 5 0.759792 0.968922 1.2254340000000001
ins histprk 0.005 tree 5 0.9297420000000001 1.1216739999999998 1.2804039999999999
del histprk 0.005 tree 5 0.8010440000000001 1.01009 1.23948
ins histprk 0.01 sym 5 0.9106019999999999 1.06191 1.21485
del histprk 0.01 sym 5 0.774372 0.948189 1.08998
ins histprk 0.01 tree 5 0.868639 1.00757 1.184704
del histprk 0.01 tree 5 0.7836799999999999 0.936156 1.0803699999999998
ins histprk 0.028 sym 1 0.8752789999999999 1.01925 1.204975
del histprk 0.028 sym 1 0.788302 0.9408949999999999 1.087
ins histprk 0.028 sym 2 0.896242 1.025442857142857 1.1944899999999998
del histprk 0.028 sym 2 0.780863 0.9236909999999999 1.061656
ins histprk 0.028 sym 5 0.807286 0.97923 1.168026
del histprk 0.028 sym 5 0.686955 0.8789214285714286 1.03919
ins histprk 0.028 tree 1 0.821786 0.9857569999999999 1.1717214285714286
del histprk 0.028 tree 1 0.7117785714285715 0.88853 1.0546200000000001
ins histprk 0.028 tree 2 0.8214640000000001 0.9733714285714286 1.15032
del histprk 0.028 tree 2 0.7280249999999999 0.8934607142857143 1.0538714285714286
ins histprk 0.028 tree 5 0.7336879999999999 0.9490689999999999 1.131346
del histprk 0.028 tree 5 0.6795640000000001 0.863032 1.0326464285714285
ins histprk 0.056 sym 2 0.742808 0.926778 1.10603
del histprk 0.056 sym 2 0.6681785714285714 0.8343949999999999 1.0180821428571427
ins histprk 0.056 sym 5 0.6718517857142857 0.9047785714285714 1.08625
del histprk 0.056 sym 5 0.6258357142857143 0.8010440000000001 1.00312
ins histprk 0.056 tree 2 0.6804821428571429 0.8845520000000001 1.0636214285714285
del histprk 0.056 tree 2 0.6333839285714286 0.7958267857142858 0.9891857142857143
ins histprk 0.056 tree 5 0.6155714285714287 0.8554607142857142 1.04352
del histprk 0.056 tree 5 0.583625 0.7727964285714285 0.9751035714285715
ins histrand 0.005 sym 5 0.7899679999999999 0.937144 1.098412
del histrand 0.005 sym 5 0.7488279999999999 0.977868 1.196266
ins histrand 0.005 tree 5 0.8167679999999999 0.962574 1.171324
del histrand 0.005 tree 5 0.7867259999999999 0.965768 1.191548
ins histrand 0.01 sym 5 0.821064 0.9563749999999999 1.136766
del histrand 0.01 sym 5 0.766914 0.9363410000000001 1.11453
ins histrand 0.01 tree 5 0.821064 0.9458529999999999 1.1014
del histrand 0.01 tree 5 0.783142 0.94211 1.10598
ins histrand 0.028 sym 1 0.8125840000000001 0.944961 1.123462
del histrand 0.028 sym 1 0.784195 0.955458 1.11453
ins histrand 0.028 sym 2 0.8196857142857144 0.9458529999999999 1.1146214285714287
del histrand 0.028 sym 2 0.772032142857143 0.948682 1.11086
ins histrand 0.028 sym 5 0.7983535714285714 0.9204800000000001 1.08465
del histrand 0.028 sym 5 0.7214392857142857 0.9014319999999999 1.083756
ins histrand 0.028 tree 1 0.805674 0.9354039999999999 1.0977857142857144
del histrand 0.028 tree 1 0.7280714285714286 0.9145107142857142 1.0900357142857142
ins histrand 0.028 tree 2 0.805637 0.9355178571428571 1.0861539999999998
del histrand 0.028 tree 2 0.7410071428571429 0.9146289999999999 1.083756
ins histrand 0.028 tree 5 0.79535 0.920748 1.0773321428571427
del histrand 0.028 tree 5 0.7395285714285714 0.902368 1.069367857142857
ins histrand 0.056 sym 2 0.7930680000000001 0.9204800000000001 1.0717928571428572
del histrand 0.056 sym 2 0.7377821428571428 0.8887928571428572 1.0562200000000002
ins histrand 0.056 sym 5 0.750419 0.9006689999999999 1.0551785714285713
del histrand 0.056 sym 5 0.6939599999999999 0.8587392857142857 1.0388428571428572
ins histrand 0.056 tree 2 0.7559392857142857 0.8960178571428571 1.050630357142857
del histrand 0.056 tree 2 0.7056790000000001 0.8650553571428572 1.0251285714285714
ins histrand 0.056 tree 5 0.7384214285714286 0.8832142857142856 1.033467857142857
del histrand 0.056 tree 5 0.6925071428571429 0.8514464285714286 1.0165
ins muscle 0.005 sym 5 0.8053899999999999 0.993746 1.104866
del muscle 0.005 sym 5 0.8183239999999999 1.0587600000000001 1.2667680000000001
ins muscle 0.005 tree 5 0.8494740000000001 1.04046 1.212672
del muscle 0.005 tree 5 0.87081 1.08549 1.303116
ins muscle 0.01 sym 5 0.8272679999999999 0.9866959999999999 1.149032
del muscle 0.01 sym 5 0.887401 1.032422 1.216158
ins muscle 0.01 tree 5 0.8376979999999999 0.96332 1.115848
del muscle 0.01 tree 5 0.884305 1.010554 1.1805400000000001
ins muscle 0.028 sym 1 0.8346642857142856 0.961506 1.12388
del muscle 0.028 sym 1 0.8700535714285714 1.010732 1.1805400000000001
ins muscle 0.028 sym 2 0.8346642857142856 0.9570035714285714 1.104866
del muscle 0.028 sym 2 0.85095 0.999391 1.149726
ins muscle 0.028 sym 5 0.764228 0.914829 1.0702678571428572
del muscle 0.028 sym 5 0.769825 0.962168 1.1181785714285712
ins muscle 0.028 tree 1 0.773172 0.9295140000000001 1.0871799999999998
del muscle 0.028 tree 1 0.7783964285714287 0.962168 1.1181785714285712
ins muscle 0.028 tree 2 0.778074 0.9273150000000001 1.0724107142857142
del muscle 0.028 tree 2 0.7855107142857143 0.9540160000000001 1.1088799999999999
ins muscle 0.028 tree 5 0.7336535714285713 0.8937449999999999 1.0578519999999998
del muscle 0.028 tree 5 0.7475142857142857 0.9188399999999999 1.0944285714285715
ins muscle 0.056 sym 2 0.731631 0.87476 1.0399892857142856
del muscle 0.056 sym 2 0.7431142857142857 0.9012357142857143 1.0753300000000001
ins muscle 0.056 sym 5 0.6769535714285715 0.8516607142857142 1.02085
del muscle 0.056 sym 5 0.7038857142857142 0.8700428571428571 1.0585799999999999
ins muscle 0.056 tree 2 0.67815 0.8354419999999999 1.00417
del muscle 0.056 tree 2 0.7044821428571428 0.8563964285714285 1.0406
ins muscle 0.056 tree 5 0.6181464285714285 0.8172642857142858 0.989921
del muscle 0.056 tree 5 0.6717607142857143 0.8318249999999999 1.02131
ins probcons 0.005 sym 5 0.928644 1.015374 1.240238
del probcons 0.005 sym 5 0.79462 1.07131 1.265686
ins probcons 0.005 tree 5 0.952896 1.116578 1.320314
del probcons 0.005 tree 5 0.8735120000000001 1.11209 1.3157379999999999
ins probcons 0.01 sym 5 0.929202 1.05614 1.247396
del probcons 0.01 sym 5 0.8640599999999999 1.03502 1.21823
ins probcons 0.01 tree 5 0.920842 1.0423200000000001 1.19976
del probcons 0.01 tree 5 0.863113 1.02737 1.17745
ins probcons 0.028 sym 1 0.885533 1.0285799999999998 1.18455
del probcons 0.028 sym 1 0.8580239999999999 1.01773 1.176602
ins probcons 0.028 sym 2 0.8687 1.00555 1.1568785714285714
del probcons 0.028 sym 2 0.8368169999999999 0.990516 1.147957142857143
ins probcons 0.028 sym 5 0.8103535714285713 0.9665214285714285 1.1249500000000001
del probcons 0.028 sym 5 0.7677178571428571 0.945554 1.1235499999999998
ins probcons 0.028 tree 1 0.814369 0.9711035714285714 1.12781
del probcons 0.028 tree 1 0.768928 0.947625 1.122466
ins probcons 0.028 tree 2 0.8107214285714286 0.9498319999999999 1.114107142857143
del probcons 0.028 tree 2 0.771288 0.9328392857142858 1.10683
ins probcons 0.028 tree 5 0.7919357142857143 0.9310999999999999 1.0947200000000001
del probcons 0.028 tree 5 0.7527035714285714 0.9064357142857142 1.0882321428571429
ins probcons 0.056 sym 2 0.7759678571428571 0.91075 1.0744
del probcons 0.056 sym 2 0.7412321428571428 0.8779500000000001 1.05924
ins probcons 0.056 sym 5 0.7300178571428572 0.8803107142857143 1.05746
del probcons 0.056 sym 5 0.7003607142857142 0.846006 1.03926
ins probcons 0.056 tree 2 0.7240071428571428 0.8599357142857142 1.0435892857142857
del probcons 0.056 tree 2 0.6997821428571429 0.8364428571428572 1.02737
ins probcons 0.056 tree 5 0.6819642857142857 0.8371500000000001 1.0244
del probcons 0.056 tree 5 0.6681071428571429 0.812626 1.01031
ins prank 0.005 sym 5 0.9783679999999999 1.167694 1.301982
del prank 0.005 sym 5 0.861694 1.13854 1.3216
ins prank 0.005 tree 5 1.002134 1.190386 1.39558
del prank 0.005 tree 5 0.91798 1.13854 1.347158
ins prank 0.01 sym 5 0.992552 1.152298 1.30523
del prank 0.01 sym 5 0.91798 1.08354 1.279354
ins prank 0.01 tree 5 0.979444 1.11243 1.27066
del prank 0.01 tree 5 0.9062250000000001 1.0628 1.2325139999999999
ins prank 0.028 sym 1 0.9541769999999999 1.0917299999999999 1.25018
del prank 0.028 sym 1 0.891836 1.05808 1.2217479999999998
ins prank 0.028 sym 2 0.9349571428571428 1.06952 1.234368
del prank 0.028 sym 2 0.87866 1.0323419999999999 1.1946139999999998
ins prank 0.028 sym 5 0.885 1.0324321428571428 1.20409
del prank 0.028 sym 5 0.8162678571428571 0.9874964285714286 1.16979
ins prank 0.028 tree 1 0.885549 1.0323464285714286 1.2030285714285713
del prank 0.028 tree 1 0.8154607142857142 0.9873160000000001 1.1606464285714286
ins prank 0.028 tree 2 0.8780285714285714 1.0180420000000001 1.1849800000000001
del prank 0.028 tree 2 0.819425 0.9759285714285714 1.14488
ins prank 0.028 tree 5 0.8570928571428571 0.987775 1.159446
del prank 0.028 tree 5 0.799387 0.940528 1.1210607142857143
ins prank 0.056 sym 2 0.8524928571428572 0.977368 1.1355739999999999
del prank 0.056 sym 2 0.7958464285714285 0.9248889999999999 1.106167857142857
ins prank 0.056 sym 5 0.8139267857142857 0.957725 1.116734
del prank 0.056 sym 5 0.7485535714285714 0.8955285714285715 1.09131
ins prank 0.056 tree 2 0.8093142857142857 0.9462160714285714 1.10431
del prank 0.056 tree 2 0.7522392857142857 0.8887553571428571 1.07301
ins prank 0.056 tree 5 0.7700178571428571 0.92505 1.08691
del prank 0.056 tree 5 0.710128 0.8719 1.05808
